Company_name,Rating,Location,Job_title,Description,Salary,Job_age,Easy_apply,Employees,Type_of_ownership,Sector,Founded,Industry,Revenue_USD,Friend_recommend,CEO_approval,Career_opportunities,Comp_&_benefits,Culture_&_values,Senior_management,Work/Life_balance,Pros,Cons,Benefits_rating,Benefits_reviews
,,,,,,30d+,False,,,,,,,,,,,,,,,,,
EUMETSAT,3.6,Norway,Contracts Officer (Based in Germany),"Contracts Officer
EUMETSAT is Europe’s meteorological satellite agency, operating satellites that monitor the weather and climate from space - 24 hours a day, 365 days a year.
It’s an exciting time to be working at EUMETSAT. As an organisation we’re operating a fleet of satellites delivering weather and climate-related satellite data and images to our users worldwide; helping protect lives, property and industries. However, you don’t need to be an engineer or a scientist to make a positive contribution. Our specialist administrative and support functions play an equally important role in the success of the EUMESAT programmes and are valued members of the EUMETSAT family.
The Contracts Division provides contractual and commercial expertise across the organisation and ensures that best value for money is achieved by an efficient procurement process. The Division provides contractual and commercial expertise to the organisation, performs checks and balances to ensure compliance with the procurement rules, and ensures that procurements are timely and well managed.",,2d,False,201 to 500,Self-employed,Government & Public Administration,,National Agencies,$100 to $500 million,0.59,0.49,2.6,3.9,3.2,2.9,3.4,"['""this company can offer good salary, on the other hand you need to be in it for 10 years before you can accrue pension rights"" (in 6 reviews)', '""Nice working Environment"" (in 5 reviews)']","['""Some heads are creating a negative culture and a general feeling of blame culture amongst teams."" (in 5 reviews)', '""Management and up is never held accountable for poor performance"" (in 3 reviews)', '""Sometimes there is too much bureaucracy"" (in 3 reviews)']",,
EUMETSAT,3.6,Norway,Cloud Services Engineer (Based in Germany),"Cloud Services Engineer
EUMETSAT is Europe’s meteorological satellite agency - monitoring the weather and climate from space - 24 hours a day, 365 days a year.
EUMETSAT opened a portfolio of cloud-based big data services in 2020 to bring users to its data. The portfolio is based on advanced architectures, applications, user portals and hosted processing capabilities with full integration across the entire cloud stack from Infrastructure as a Service (IaaS) up to Data as a Service (DaaS). EUMETSAT has a key role in several cloud-based international initiatives such as DIAS, WekEO, European Weather Cloud (EWC) and Destination Earth.
Within the Competence Area of Cloud Services in the Digital Solutions and SAF Division (DSA), the Cloud Services Engineer will be the main technical focal point for all cloud services and solutions developed by DSA that have a focus on downstream applications. The postholder will manage the engineering, evolution and maintenance of those cloud services, including procurement and management of industrial support and services needed for their development, implementation, evolution and achieving the targeted service levels",,8d,False,201 to 500,Self-employed,Government & Public Administration,,National Agencies,$100 to $500 million,0.59,0.49,2.6,3.9,3.2,2.9,3.4,"['""this company can offer good salary, on the other hand you need to be in it for 10 years before you can accrue pension rights"" (in 6 reviews)', '""Nice working Environment"" (in 5 reviews)']","['""Some heads are creating a negative culture and a general feeling of blame culture amongst teams."" (in 5 reviews)', '""Management and up is never held accountable for poor performance"" (in 3 reviews)', '""Sometimes there is too much bureaucracy"" (in 3 reviews)']",,
Cambi,,Remote,Data Engineer,"Cambi has developed our own tool to help our customers achieve high process performance and smooth operation of all our Thermal Hydrolysis Plant (THP) installations and ancillaries. We call this tool PLUS - an online platform for process monitoring, analysis and support.
We are now seeking to strengthen our PLUS team with a highly skilled Data Engineer. As a successful candidate, you will play a key role in the further development and deployment of PLUS across our plants worldwide. This is a unique opportunity to get involved at an early stage and be a key player in developing one of the company’s main strategic activities.
As a PLUS Data Engineer, you will be responsible for developing and maintaining data streaming solutions from our industrial automation systems. Your key responsibilities will include setting up data pipelines from the plant floor to the end-user, ensuring that real-time data is continuously updated and available for analysis. Additionally, you will have the opportunity to be involved in this data analysis. You will work closely with a cross-functional team of experts to design and implement scalable, efficient, and reliable data streaming pipelines. You will also integrate new data sources, troubleshoot and debug streaming issues, and ensure data quality and integrity. Furthermore, you will play a significant role in implementing best practices for data management, data security, and data privacy.",,9d,False,51 to 200,Company - Private,,,,,,,,,,,,,,,
Knowit Norway,3.7,Oslo,Data Engineer - Google Cloud,"Vil du lage skyløsninger for noen av Norges største merkevarer? Vi søker deg som uoppfordret utforsker de siste teknologiske trendene, og samtidig er kvalitetsbevisst når du implementerer det beste skyen har å by på. Hvis du digger å skape verdi gjennom å sammenstille, bearbeide og utnytte store mengder data, så bør du lese videre.
Som Google Cloud Partner og Google Marketing Platform Partner, vil en stor del av arbeidshverdagen din gå ut på å bruke tjenester fra Google-universet for å utnytte potensialet i data fra en rekke uavhengige kilder og systemer. Du vil bli en del av cloud-teamet sammen med fem andre data engineers og data scientists, som inngår i Knowits inkubatoravdeling. Det innebærer høy grad av frihet under eget ansvar, og en stor påvirkningskraft på hvordan teamet skal utvikles og drives framover.",,30d+,False,,Company - Private,,,,,0.74,,3.9,3.9,4.3,4.5,4.4,"['""Friendly colleagues, transparent management, diverse enough profile"" (in 2 reviews)', '""Lot of Opportunities and good company"" (in 1 reviews)']","['""low salary with little oppurtunity for raise."" (in 1 reviews)']",,
Statkraft,4.5,Oslo,Data Engineer (m/f/d),"Company Description

Statkraft has been making clean energy possible for over a century. That’s what we offer. 125 years of unrivalled expertise in supplying the world with what it needs most. Because in the fight against climate change, we don’t see renewable energy as part of the solution - we believe it must be the solution. With us, you’ll shape a career that is truly forward-facing with many amazing opportunities and offerings to match.

But there’s more work to be done - that’s why we need you to join us.

Job Description",,30d+,False,1001 to 5000,Company - Public,"Energy, Mining & Utilities",1895,Energy & Utilities,$10+ billion,0.91,0.96,3.9,4.1,4.4,3.9,4.3,"['""Great work life balance"" (in 16 reviews)', '""Flat hierarchy, open culture, great work"" (in 14 reviews)', '""Great people to work with"" (in 14 reviews)', '""Good benefits and salary."" (in 11 reviews)', '""Awesome company, great benefits, good pay"" (in 8 reviews)']","['""Lack of support and work life balance"" (in 16 reviews)', '""Too centered in Norway culture, not an international mentality"" (in 14 reviews)', '""Low salary"" (in 11 reviews)', '""Compensation could be better compared to the industry, but benefits are very good!"" (in 8 reviews)']",,
Bekk,4.8,Norway,Sommerjobb for data scientists / data engineers — Oslo,"En relevant sommerjobb er gull verdt for deg som ønsker erfaring og muligheten til å sette teori i praksis. Jobb med erfarne Bekk-konsulenter på aktuelle oppdrag, lær masse og vis oss hva du kan – og kanskje leder det til en jobb etter studiene! Sommerjobb i 2023 er fra 13. juni til 28. juli.
Hvem er du?
Du studerer datateknikk, informatikk, kybernetikk, matematikk, eller du har en annen relevant utdannelse. Du har et ønske om å få erfaring som data scientist eller data engineer, og interessen for å løse problemer med data bør være en drivkraft for deg.
Hva skal du gjøre?",,30d+,False,201 to 500,Company - Private,Management & Consulting,,Business Consulting,$500 million to $1 billion,1.0,,4.1,3.8,4.9,4.4,4.8,"['""Smart colleagues"" (in 3 reviews)', '""Good salary and interesting projects."" (in 1 reviews)', '""the average age of the colleagues is young"" (in 1 reviews)']","['""career path is not fully clear"" (in 1 reviews)', '""not so easy to work overtime"" (in 1 reviews)']",,
Schibsted,4.3,Oslo,Data Engineer,"The Schibsted Nordic Marketplaces family includes online marketplaces and services in the Nordics. Every day, we help millions of people buy, sell, hire and get hired. We operate within four main segments, Mobility, Real Estate, Jobs and Recommerce. We have unique, strong and loved positions within all our segments in the Nordics. Some of our brands include FINN and Nettbil in Norway, Blocket and Qasa in Sweden, DBA and Bilbasen in Denmark, and Tori and Oikotie in Finland.
Are you a skilled Data Engineer with a passion for building high-quality software and infrastructure? Do you have experience with Kafka and Java technologies and a desire to learn more? If so, we want you to join our Data team!
Our newly-formed Data Platform is embarking on a journey towards Data Mesh, where shared data is discoverable, addressable, trustworthy, and secure. As a member of our team, youâ€™ll work closely with other teams within the Nordic Marketplaces to provide custom vertical functions, while also helping to build decentralised data products using our centralised Event Stream.",,30d+,False,5001 to 10000,Company - Public,Media & Communication,1839,Publishing,$25 to $100 million,0.92,0.99,4.0,3.9,4.5,3.9,4.6,"['""great culture"" (in 23 reviews)', '""Great Nordic Collaboration, good salary"" (in 19 reviews)', '""great atmosphere and friendly colleagues"" (in 32 reviews)', '""good work life balance"" (in 15 reviews)', '""mostly transparent management"" (in 13 reviews)']","['""Within Sales, very ""male culture"" and boys helping boys"" (in 23 reviews)', '""Low Salary"" (in 19 reviews)', '""Sometimes management prioritizes short"" (in 13 reviews)']",,
Altera Infrastructure,3.9,Trondheim,EICT package engineer,"Application deadline:
2023-04-11
Location:
Trondheim
Employment type:
Permanent
Are you our new EICT package engineer?
Do you want to be part of a dynamic international business? We are looking for a teamplayer who is curious and enjoys to take the lead.",,9d,False,1001 to 5000,Company - Private,,,,,0.78,,2.9,3.9,3.5,3.3,3.7,"['""Competitive salary"" (in 4 reviews)', '""The management is approachable and listen to its people."" (in 4 reviews)', '""Lots of good benefits compared to other company."" (in 1 reviews)', '""Good work life balance"" (in 1 reviews)', '""Good working environment and open to hearing your views and opinions."" (in 1 reviews)']","['""Clueless management."" (in 4 reviews)']",,
Handelshøyskolen BI,4.5,Oslo,Løsningsarkitekt Analytics / Data Engineer,"Vil du jobbe med noe som skaper verdi for samfunnet?
Handelshøyskolen BI bruker store ressurser på å skape fremragende digitale brukeropplevelser og har høye ambisjoner for digitalisering både i undervisning og av virksomhetsprosesser. Sammen med ca 65 dyktige kollegaer jobber vi med å forme morgendagens tech-tilbud til studentene våre, i tett samarbeid med flere av Norges største konsulentfirmaer. Produktene vi lager, og verktøyene vi jobber med blir brukt av over 20.000 studenter. Stor påvirkningskraft og endringsvilje er nøkkelord på vår arbeidsplass. Vi vil ha fornøyde ansatte, og tilbyr derfor en fleksibel og familievennlig arbeidshverdag med mulighet for gratis videreutdanning.
Vi søker deg som ønsker å ha faglig ledese av BIs tekniske Analytics-team.
Hva går jobben ut på?",,24h,False,201 to 500,College / University,Education,,Colleges & Universities,,0.85,0.89,3.8,3.6,4.2,3.9,4.7,"['""Competitive salary and benefits, high quality research output"" (in 3 reviews)', '""Good , education, bachelor , master, campus"" (in 8 reviews)', '""It also can improve communication and presentation skills."" (in 3 reviews)', '""flex time, high salary, good for academic career"" (in 2 reviews)', '""Great colleagues."" (in 1 reviews)']","['""The salary is not very good"" (in 3 reviews)']",,
