Company_name,Rating,Location,Job_title,Description,Job_age,Easy_apply,Salary,Employees,Type_of_ownership,Sector,Founded,Industry,Revenue_USD,Friend_recommend,CEO_approval,Career_opportunities,Comp_&_benefits,Culture_&_values,Senior_management,Work/Life_balance,Pros,Cons,Benefits_rating,Benefits_reviews
Dropbox,4.6,Poland,Backend Product Software Engineer,"Role Description
Our strategy starts with our mission: how do we build the right set of products that can help our customers work in a more enlightened way? If the first big problem Dropbox solved was getting your files in the cloud, the new problem we're solving is helping you organize your life.
As we're evolving the core business from syncing and sharing files, we are looking for Software Engineers to come build the next generation of new products for collaboration and distributed work. Product Engineers thrive working across technologies and codebases, but are also involved in various product development cycle stages. Along the way they help representing users needs through close partnership with product, design, and user research.
In this role you will deliver best-in-breed software by building robust systems that power optimized user experiences on marquee projects like Dropbox Paper, Transfer, or Family. As a Product Engineer, you will use data-driven approaches to conduct experiments or iterate features, while ensuring that the software we write will last and scale.",30d+,False,,1001 to 5000,Company - Private,Information Technology,2007,Computer Hardware Development,,0.94,0.95,4.3,4.7,4.7,4.2,4.7,"['""Some teams have really good culture."" (in 71 reviews)', '""Nice people, very helpful all around the company."" (in 73 reviews)', '""great benefits and comp packages"" (in 45 reviews)', '""I really don\'t understand how a company can pay so well and still provide such great work life balance."" (in 44 reviews)', '""Great pay"" (in 39 reviews)']","['""Eng culture very conservative, career growth is difficult"" (in 71 reviews)', '""People avoid hot/uncomfortable discussions"" (in 73 reviews)', '""It\'s important to weigh these potential cons against the many benefits of working at Dropbox."" (in 45 reviews)', '""Attrition is high (due to better pay at startups?)"" (in 39 reviews)']",4.8,"['Maternity & Paternity Leave (50 comments)\n""6 months paid paternity leave is great""', 'Health Insurance (20 comments)\n""Great coverage across the board""', '401K Plan (17 comments)\n""Fantastic Match. No Vesting. All the best features - like after tax in plan conversion. First class program!""']"
Dropbox,4.6,Poland,Front End Product Software Engineer,"Role Description
Our strategy starts with our mission: how do we build the right set of products that can help our customers work in a more enlightened way? If the first big problem Dropbox solved was getting your files in the cloud, the new problem we're solving is helping you organize your life.
As we're evolving the core business from syncing and sharing files, we are looking for Software Engineers to come build the next generation of new products for collaboration and distributed work. Product Engineers thrive working across technologies and codebases, but are also involved in various product development cycle stages. Along the way they help representing users needs through close partnership with product, design, and user research.
In this role you will deliver best-in-breed software by building robust systems that power optimized user experiences on marquee projects like Dropbox Paper, Transfer, or Family. As a Product Engineer, you will use data-driven approaches to conduct experiments or iterate features, while ensuring that the software we write will last and scale.",30d+,False,,1001 to 5000,Company - Private,Information Technology,2007,Computer Hardware Development,,0.94,0.95,4.3,4.7,4.7,4.2,4.7,"['""Some teams have really good culture."" (in 71 reviews)', '""Nice people, very helpful all around the company."" (in 73 reviews)', '""great benefits and comp packages"" (in 45 reviews)', '""I really don\'t understand how a company can pay so well and still provide such great work life balance."" (in 44 reviews)', '""Great pay"" (in 39 reviews)']","['""Eng culture very conservative, career growth is difficult"" (in 71 reviews)', '""People avoid hot/uncomfortable discussions"" (in 73 reviews)', '""It\'s important to weigh these potential cons against the many benefits of working at Dropbox."" (in 45 reviews)', '""Attrition is high (due to better pay at startups?)"" (in 39 reviews)']",4.8,"['Maternity & Paternity Leave (50 comments)\n""6 months paid paternity leave is great""', 'Health Insurance (20 comments)\n""Great coverage across the board""', '401K Plan (17 comments)\n""Fantastic Match. No Vesting. All the best features - like after tax in plan conversion. First class program!""']"
Dropbox,4.6,Poland,Infrastructure Software Engineer,"Role Description
Our Dropbox Infrastructure Engineering team is passionate about building awesome products at massive scale. We've developed a set of values that enable us to do this. Specifically, we write phenomenal software and sweat the details, focus on impact, and create an enduring culture. Building elegant products begins with lots of hacking and iteration to explore the problem space. It culminates in careful attention to edge cases and error handling, polished code, and great tests to ensure that we ship reliable code that never compromises data integrity or security. Every Dropbox software release improves millions of lives, and you'll find a high petabyte-to-engineer ratio here. We're bold when it comes to shipping high-leverage projects, even if they're risky or novel.
We care deeply about collaboration, feedback, and iteration. Trust and respect are deeply rooted in our engineering culture. At the heart of Dropbox lies the largest networked filesystem in history. We routinely tackle audacious challenges, often against competitors who have 10-50x our resources. On top of this foundation, we're crafting products that enable people to do amazing things with their stuff across all their devices. We hope you'll join us!",30d+,False,,1001 to 5000,Company - Private,Information Technology,2007,Computer Hardware Development,,0.94,0.95,4.3,4.7,4.7,4.2,4.7,"['""Some teams have really good culture."" (in 71 reviews)', '""Nice people, very helpful all around the company."" (in 73 reviews)', '""great benefits and comp packages"" (in 45 reviews)', '""I really don\'t understand how a company can pay so well and still provide such great work life balance."" (in 44 reviews)', '""Great pay"" (in 39 reviews)']","['""Eng culture very conservative, career growth is difficult"" (in 71 reviews)', '""People avoid hot/uncomfortable discussions"" (in 73 reviews)', '""It\'s important to weigh these potential cons against the many benefits of working at Dropbox."" (in 45 reviews)', '""Attrition is high (due to better pay at startups?)"" (in 39 reviews)']",4.8,"['Maternity & Paternity Leave (50 comments)\n""6 months paid paternity leave is great""', 'Health Insurance (20 comments)\n""Great coverage across the board""', '401K Plan (17 comments)\n""Fantastic Match. No Vesting. All the best features - like after tax in plan conversion. First class program!""']"
Dropbox,4.6,Poland,Senior Backend Product Software Engineer,"Role Description
Our strategy starts with our mission: how do we build the right set of products that can help our customers work in a more enlightened way? If the first big problem Dropbox solved was getting your files in the cloud, the new problem we're solving is helping you organize your life.
As we're evolving the core business from syncing and sharing files, we are looking for Senior Software Engineers to come build the next generation of new products for collaboration and distributed work. Product Engineers thrive working across technologies and codebases, but are also involved in leading various product development cycle stages. Along the way they are expected to fully represent the users needs through close partnership with product, design, and user research.
In this role you will build best-in-breed software by architecting and delivering scalable systems that power optimized user experiences like Dropbox Paper, Transfer, or Family. As a Senior Product Engineer, you will support data-driven approaches to conduct experiments or iterate features, while ensuring that the software we write will last and scale. You advocate for simple solutions and designs over complex ones, knowing when to move fast and when to do things right.",30d+,False,,1001 to 5000,Company - Private,Information Technology,2007,Computer Hardware Development,,0.94,0.95,4.3,4.7,4.7,4.2,4.7,"['""Some teams have really good culture."" (in 71 reviews)', '""Nice people, very helpful all around the company."" (in 73 reviews)', '""great benefits and comp packages"" (in 45 reviews)', '""I really don\'t understand how a company can pay so well and still provide such great work life balance."" (in 44 reviews)', '""Great pay"" (in 39 reviews)']","['""Eng culture very conservative, career growth is difficult"" (in 71 reviews)', '""People avoid hot/uncomfortable discussions"" (in 73 reviews)', '""It\'s important to weigh these potential cons against the many benefits of working at Dropbox."" (in 45 reviews)', '""Attrition is high (due to better pay at startups?)"" (in 39 reviews)']",4.8,"['Maternity & Paternity Leave (50 comments)\n""6 months paid paternity leave is great""', 'Health Insurance (20 comments)\n""Great coverage across the board""', '401K Plan (17 comments)\n""Fantastic Match. No Vesting. All the best features - like after tax in plan conversion. First class program!""']"
Dropbox,4.6,Poland,Senior Infrastructure Software Engineer,"Role Description
Our Dropbox Infrastructure Engineering team is passionate about building awesome products at massive scale. We've developed a set of values that enable us to do this. Specifically, we write phenomenal software and sweat the details, focus on impact, and create an enduring culture. Building elegant products begins with lots of hacking and iteration to explore the problem space. It culminates in careful attention to edge cases and error handling, polished code, and great tests to ensure that we ship reliable code that never compromises data integrity or security. Every Dropbox software release improves millions of lives, and you'll find a high petabyte-to-engineer ratio here. We're bold when it comes to shipping high-leverage projects, even if they're risky or novel.
We care deeply about collaboration, feedback, and iteration. Trust and respect are deeply rooted in our engineering culture. At the heart of Dropbox lies the largest networked filesystem in history. We routinely tackle audacious challenges, often against competitors who have 10-50x our resources. On top of this foundation, we're crafting products that enable people to do amazing things with their stuff across all their devices. We hope you'll join us!",30d+,False,,1001 to 5000,Company - Private,Information Technology,2007,Computer Hardware Development,,0.94,0.95,4.3,4.7,4.7,4.2,4.7,"['""Some teams have really good culture."" (in 71 reviews)', '""Nice people, very helpful all around the company."" (in 73 reviews)', '""great benefits and comp packages"" (in 45 reviews)', '""I really don\'t understand how a company can pay so well and still provide such great work life balance."" (in 44 reviews)', '""Great pay"" (in 39 reviews)']","['""Eng culture very conservative, career growth is difficult"" (in 71 reviews)', '""People avoid hot/uncomfortable discussions"" (in 73 reviews)', '""It\'s important to weigh these potential cons against the many benefits of working at Dropbox."" (in 45 reviews)', '""Attrition is high (due to better pay at startups?)"" (in 39 reviews)']",4.8,"['Maternity & Paternity Leave (50 comments)\n""6 months paid paternity leave is great""', 'Health Insurance (20 comments)\n""Great coverage across the board""', '401K Plan (17 comments)\n""Fantastic Match. No Vesting. All the best features - like after tax in plan conversion. First class program!""']"
Dropbox,4.6,Poland,Senior Front End Product Software Engineer,"Role Description
Our strategy starts with our mission: how do we build the right set of products that can help our customers work in a more enlightened way? If the first big problem Dropbox solved was getting your files in the cloud, the new problem we're solving is helping you organize your life.
As we're evolving the core business from syncing and sharing files, we are looking for Senior Software Engineers to come build the next generation of new products for collaboration and distributed work. Product Engineers thrive working across technologies and codebases, but are also involved in leading various product development cycle stages. Along the way they are expected to fully represent the users needs through close partnership with product, design, and user research.
In this role you will build best-in-breed software by architecting and delivering scalable systems that power optimized user experiences like Dropbox Paper, Transfer, or Family. As a Senior Product Engineer, you will support data-driven approaches to conduct experiments or iterate features, while ensuring that the software we write will last and scale. You advocate for simple solutions and designs over complex ones, knowing when to move fast and when to do things right.",30d+,False,,1001 to 5000,Company - Private,Information Technology,2007,Computer Hardware Development,,0.94,0.95,4.3,4.7,4.7,4.2,4.7,"['""Some teams have really good culture."" (in 71 reviews)', '""Nice people, very helpful all around the company."" (in 73 reviews)', '""great benefits and comp packages"" (in 45 reviews)', '""I really don\'t understand how a company can pay so well and still provide such great work life balance."" (in 44 reviews)', '""Great pay"" (in 39 reviews)']","['""Eng culture very conservative, career growth is difficult"" (in 71 reviews)', '""People avoid hot/uncomfortable discussions"" (in 73 reviews)', '""It\'s important to weigh these potential cons against the many benefits of working at Dropbox."" (in 45 reviews)', '""Attrition is high (due to better pay at startups?)"" (in 39 reviews)']",4.8,"['Maternity & Paternity Leave (50 comments)\n""6 months paid paternity leave is great""', 'Health Insurance (20 comments)\n""Great coverage across the board""', '401K Plan (17 comments)\n""Fantastic Match. No Vesting. All the best features - like after tax in plan conversion. First class program!""']"
EUMETSAT,3.4,Poland,Cloud Services Engineer (Based in Germany),"Cloud Services Engineer
EUMETSAT is Europe’s meteorological satellite agency - monitoring the weather and climate from space - 24 hours a day, 365 days a year.
EUMETSAT opened a portfolio of cloud-based big data services in 2020 to bring users to its data. The portfolio is based on advanced architectures, applications, user portals and hosted processing capabilities with full integration across the entire cloud stack from Infrastructure as a Service (IaaS) up to Data as a Service (DaaS). EUMETSAT has a key role in several cloud-based international initiatives such as DIAS, WekEO, European Weather Cloud (EWC) and Destination Earth.
Within the Competence Area of Cloud Services in the Digital Solutions and SAF Division (DSA), the Cloud Services Engineer will be the main technical focal point for all cloud services and solutions developed by DSA that have a focus on downstream applications. The postholder will manage the engineering, evolution and maintenance of those cloud services, including procurement and management of industrial support and services needed for their development, implementation, evolution and achieving the targeted service levels",20d,False,PLN 8K (Employer est.),201 to 500,Self-employed,Government & Public Administration,,National Agencies,$100 to $500 million,0.5,0.49,2.4,3.7,2.9,2.6,3.1,"['""People, Salary, Quality of Life, Meaningful work."" (in 1 reviews)']","['""Things are very bureaucratic and can be slow in terms of work."" (in 1 reviews)']",,
nVent,3.8,Dzierżoniów,Electro Mechanical Design Engineer,"We’re looking for people who put their innovation to work to advance our success – and their own. Join an organization that ensures a more secure world through connecting and protecting our customers with inventive electrical solutions.
What You Will Experience In This Position
In this position, you will get to:
Conduct electrical, material, and mechanical investigations.
Perform testing, research, and data gathering, charting, analysis, and recording.
Develop qualification plans in accordance with nVent Thermal and industry standards.
Manage project execution with limited oversight. Coordinate internal and external laboratory resources.",21d,True,PLN 102K - PLN 157K (Employer est.),10000+,Company - Public,Manufacturing,2018,Electronics Manufacturing,$1 to $5 billion,0.75,0.9,3.6,3.4,3.8,3.4,3.8,"['""Good people to work with for mentorship"" (in 8 reviews)', '""The benefits barely pass."" (in 6 reviews)', '""Above average pay, friendly environment"" (in 6 reviews)', '""Actually decent culture, like people are generally friendly and interested in conversation."" (in 11 reviews)', '""Good facilities"" (in 9 reviews)']","['""Low pay, not much room for improvement"" (in 6 reviews)', '""Very less facilities for contract rolls"" (in 9 reviews)']",4.4,"['401K Plan (6 comments)\n""100% match up to 5%""', 'Health Insurance (5 comments)\n""Several options to best suit your needs""', 'Maternity & Paternity Leave (3 comments)\n""benefits for mothers and faterhs""']"
Acreto,,Remote,Technical Reporting & Compliance Lead,"Technical Reporting and Compliance Lead
This is a role for a senior data engineer to architect, develop and operate a large scale, high performance data collection, processing and reporting infrastructure. This infrastructure will most likely involve a variety of data store types spanning SQL, NoSQL and Time Series.
This architecture must also consider data security, privacy, performance and availability.
In this role, you will need to:
Gather, store, process and categorize data generated by a variety of system sources and types
Analyze, discuss and understand reporting requirements for a variety of compliance standards",30d+,True,PLN 71K - PLN 101K (Employer est.),,,,,,,,,,,,,,,,,
PAYBACK GmbH,3.9,Poland,Data Engineer (DWH) (m/f/d),"PAYBACK is a top player in data-driven marketing. With the ability to develop digital business models and implement technical trends, we are one of the leading companies in the data economy. All technical solutions of the PAYBACK program are developed, invented and implemented in Germany. Therefore, we provide the latest technologies and have cross-functional and agile teams.
You want to take responsibility and collaborate your ideas to our unique product? You are ambitious and eager to and move things further? Then you are exactly right with PAYBACK. We are looking forward to getting to know you.
YOUR TASKS
Within the Global Data Warehouse (DWH) Engineering Team you can work with a huge amount of data and help us improve by using it in the right way in Germany, Poland, Mexico, Italy and Austria.",30d+,False,,201 to 500,Company - Private,Media & Communication,,Advertising & Public Relations,$100 to $500 million,0.79,0.91,3.1,3.3,4.0,3.4,4.1,"['""Awesome environment and team, funny and unstressed work"" (in 4 reviews)', '""Very lively culture"" (in 1 reviews)', '""The people are awesome, benefits are good, work life balance focused a lot on life, really good for parents since they have a kita"" (in 1 reviews)']","['""No career advancement options."" (in 3 reviews)', '""Raises limited by budgets, management sometimes makes decisions without caring for employees"" (in 1 reviews)']",,
